Name,Country,Type,Style,Grape,Fullness,Long Description,Price,Awards,ABV,Volume,ID,Year,Reason
Château Musar 2003 Gaston Hochar,Lebanon,Red,Big ,,MEDIUM,"Lebanese winemaking spans over 6,000 years. Château Musar is the country's best known winery for good reason. This is rich, vibrant and brimming with delicious spices. You'll have a tough time finding anything that comes close elsewhere.",31.99,,14.0,75.0,151.0,,no grapes could be parsed
Château Grand Faurie La Rose 2013/14 St-Emilion Grand Cru,France,Red,Big ,,MEDIUM,"Accept no second bests. This 'Grand Cru' is cream-of-the-crop claret. Boasting developed notes of blackcurrant, rose, clove and regal spices, it's the red your Sunday roast's been missing.",21.99,,13.5,75.0,161.0,,no grapes could be parsed
Santa Rita Medalla Real Carmenère 2017 Colchagua Valley,Chile,Red,Big ,,FULL,"Unlike the majority of its wines which are very modern and fruit-driven, Santa Rita's Medalla Real wines are made in a more classic style, with a little more in the way of secondary, savoury characters. This Carménère comes from sites in the Marchigüe and Apalta regions. Plush and full bodied, this wine offers the nose and palate an array of blueberry, plum and oak-softened cassis fruit, accented with intriguing coffee and dark chocolate aromas. Will stand up well to steaks, as well as something a little gamier, such as pot roasted rabbit or duck.",11.99,IWC 2018 - Silver Award,14.0,75.0,163.0,,no grapes could be parsed
Passimento Bianco 2018 Pasqua,Italy,White,Fruity ,,DRY,"Made from grapes grown in the heart of Valpolicella in the Province of Verona the Garganega grapes are initially dried before vinification. During the drying process the grapes lose 20-30% of their weight concentrating the sugars giving a rich, smooth wine. Intense tropical and peach flavours. This wine is refreshing yet powerful; buttery yet refreshing with a lingering finish. This unusual wine will match with all sorts of foods from pungent cheese to buttery chicken and fish dishes.",11.99,IWC 2018 - Commended Award,13.0,75.0,164.0,,no grapes could be parsed
Majestic Loves Spanish Red 2018,Spain,Red,Smooth ,,MEDIUM,"Smooth and bursting with black fruits, this is everything a young Rioja has but the region-based label. Delight friends with this and a tapas spread - we won't spill your cost-efficient secret!",6.99,IWC 2017 - Commended Award,13.5,75.0,165.0,,no grapes could be parsed
Barolo 2015 Ciabot Berton,Italy,Red,Big ,,FULL,"Barolo is the king of Italian reds for good reason. It's imitated the world over. But nothing matches the real stuff. Pumping with indulgent tannins, rose petals and plummy red fruit, this is flavour on overdrive.",30.0,,14.5,75.0,166.0,,no grapes could be parsed
Gavi 2018 Araldica,Italy,White,Crisp ,,DRY,"Gavi is a small town and winemaking sub-region in the far south-east corner of Piedmont, around 50km inland of the Med, famed for the Cortese grape which is indigenous to the north of Italy, and a popular feature in the restaurants of the Ligurian coast. Zippy, fresh and predominantly citrus-flavoured wine, with a racy lime-zest and nettle aroma. Refreshingly clean on the palate, with enduring, mouthwatering acidity. Drink with spaghetti genovese, or any fresh seafood dish.",9.99,,12.5,75.0,169.0,,no grapes could be parsed
Jas Du Lauzon Luberon Rosé,France,Rose,,,DRY,"Jaz du Lauzon is a beneficiary of Luberon's unique climate. Redolent of wild raspberries and rose petal, and displaying a delicate minerality, it's a real summer thirst quencher.",9.99,,13.5,75.0,172.0,,no grapes could be parsed
Domodo Negroamaro IGP Puglia 2018,Italy,Red,Big ,,MEDIUM,Chosen by our Store Managers this has a deliciously intense palate of blackcurrant and wild bramble fruit is lifted with charming hints of thyme and sweet spice. This makes an outstanding partner for rich red meat dishes. Deliciously intense and smooth palate of blackcurrant and wild bramble lifted by charming hints of sweet spice. An oustanding partner for rich red meat dishes or mature cheese.,9.99,,12.0,75.0,174.0,,no grapes could be parsed
Definition Rosé 2018,France,Rose,,,DRY,"The Definition range captures the quintessential qualities of the world's greatest wine styles. Old vines craft the juiciest berries. So to capture the essence of rosé, we went to a French vineyard with crops reaching 70 years. You're in for pure notes of stone fruit, citrus and melon balanced by zippy acidity.",10.99,,12.0,75.0,175.0,,no grapes could be parsed
